Airline,Departure Airport,Arrival Airport,Day,Price
Spirit,CHI,LAX,3/23,$89
Spirit,CHI,LAX,3/24,$87
Spirit,CHI,LAX,3/25,$68
Spirit,CHI,LAX,3/26,$55
Spirit,CHI,LAX,3/27,$89
Spirit,CHI,LAX,3/28,$89
Spirit,CHI,LAX,3/29,$88
Spirit,CHI,LAX,3/30,$112
Spirit,CHI,LGA,3/23,$129
Frontier,CHI,LGA,3/23,$122
Spirit,CHI,EWR,3/24,$64
Spirit,CHI,EWR,3/25,$49
Spirit,CHI,EWR,3/26,$49
Spirit,CHI,EWR,3/27,$49
Spirit,CHI,EWR,3/28,$64
Spirit,CHI,EWR,3/29,$37
Spirit,CHI,EWR,3/30,$64
Spirit,LAX,LGA,3/23,$138
Spirit,LAX,EWR,3/24,$73
Spirit,LAX,EWR,3/25,$72
Spirit,LAX,EWR,3/26,$78
Spirit,LAX,EWR,3/27,$106
JetBlue,LAX,JFK,3/28,$184
Spirit,LAX,EWR,3/29,$133
Alaska,LAX,EWR,3/30,$209
Spirit,LAX,CHI,3/23,$114
Spirit,LAX,CHI,3/24,$89
Spirit,LAX,CHI,3/25,$43
American,LAX,CHI,3/26,$90
Spirit,LAX,CHI,3/27,$89
Spirit,LAX,CHI,3/28,$134
Spirit,LAX,CHI,3/29,$239
Spirit,LAX,CHI,3/30,$145
Spirit,EWR,CHI,3/23,$64
Spirit,EWR,CHI,3/24,$37
Spirit,EWR,CHI,3/25,$37
Spirit,EWR,CHI,3/26,$37
Spirit,EWR,CHI,3/27,$49
Spirit,EWR,CHI,3/28,$109
Spirit,EWR,CHI,3/29,$84
Spirit,EWR,CHI,3/30,$253
Spirit,EWR,LAX,3/23,$73
Spirit,EWR,LAX,3/24,$73
Spirit,EWR,LAX,3/25,$59
Spirit,EWR,LAX,3/26,$55
Spirit,EWR,LAX,3/27,$103
Spirit,EWR,LAX,3/28,$106
Spirit,EWR,LAX,3/29,$90
Spirit,EWR,LAX,3/30,$133